Year,Month,Site,Surface temp,Middle temp,Bottom temp,Water Temperature,pH,Ammonia,Nitrate,Phosphate,Dissolved Oxygen,Sulfide,Carbon Dioxide,Weather Condition,Wind Direction,Air Temperature (0C)
2013,January,TANAUAN,26.28,26.28,26.28,26.28,8.52,0.83,0.02,,0.98,,,2.4,1.5,26.28
2013,January,TALISAY,26.35,26.35,26.35,26.35,8.63,0,0.02,,5.66,,,2.4,1.5,26.35
2013,February,AYA,26.53,26.53,26.53,26.53,8.62,0.56,0.07,,4.44,,,3,1.5,28.5
2013,February,TUMAWAY,26.55,26.55,26.55,26.55,8.64,0.53,0.07,,5.8,,,2,1.5,28.5
2013,February,SAMPALOC,26.98,26.98,26.98,26.92,8.77,0.53,0.07,,6.51,,,2,1.5,28.5
2013,February,BERINAYAN,26.98,26.98,26.98,26.98,8.8,0.48,0,,5.99,,,2,1.5,28
2013,February,BALAKILONG,27.05,27.05,27.05,27.05,8.78,0.48,0.03,,6.74,,,2,1.5,28
2013,February,BUSO-BUSO,26.99,26.99,26.99,26.99,8.72,0.47,0.07,,6.55,,,2,1.5,28
2013,February,BANAGA,26.95,26.95,26.95,26.95,8.72,0.47,0.01,,6.2,,,2,1.5,28
2013,February,BILIBINWANG,26.96,26.96,26.96,26.96,8.98,0.37,0,,6.59,,,2,1.5,27
2013,February,SUBIC-ILAYA,27.04,27.04,27.04,27.04,9.09,0.47,0.01,,7.83,,,2,1.5,26
2013,February,SAN NICOLAS,26.77,26.77,26.77,26.77,8.78,0,,,7.39,,,2,1.5,26
2013,February,MATAAS NA KAHOY,26.41,26.41,26.41,26.41,8.87,0.47,0.01,,6.95,,,2,1.5,26
2013,February,TANAUAN,,,,26.32,8.68,0.43,0,,9.37,,,2,1.5,25
2013,March,AYA,29,29,29,29,8.5,0,0,,7.47,,,2.2,0,27.5
2013,March,TUMAWAY,29,29,29,29,9,0,0,,7.39,,,2,2.5,32
2013,March,SAMPALOC,29.5,29.5,29.5,29.5,8.5,0.01,0.01,,7.9,,,2,1.5,30
2013,March,BERINAYAN,29.5,29.5,29.5,29.5,8.5,0.03,0.03,,8.38,,,2,1.5,28.5
2013,March,BALAKILONG,28.5,28.5,28.5,28.5,8.25,0.03,0.03,,7.37,,,2,1.5,30
2013,March,BUSO-BUSO,29,29,29,29,8.5,0,0,,7.69,,,2,1.5,29.5
2013,March,BAÑAGA,29,29,29,29,8.5,0.02,0.02,,8.18,,,2.2,1.5,28
2013,March,BILIBINWANG,29.5,29.5,29.5,29.5,8.5,0,0,,8.61,,,2,1.5,30.5
2013,March,SUBIC-ILAYA,29.5,29.5,29.5,29.5,8.75,0.01,0.01,,8.14,,,2,1.5,27
2013,March,SAN NICOLAS,29.5,29.5,29.5,29.5,8.75,0.01,0.01,,9.16,,,2,1.5,30
2013,March,MATAAS NA KAHOY,28.5,28.5,28.5,28.5,8.5,0,0,,8.55,,,2,3.5,32
2013,March,TANAUAN,,,,28,8.5,0,0,,9.32,,,2,0,30
2013,April,AYA,29.5,27,26.5,27.67,8,0.01,0.01,,2.46,,,2,1.5,31
2013,April,TUMAWAY,29,26.75,26.35,27.37,8,0.02,0.01,,2.93,,,2,1.5,28.5
2013,April,SAMPALOC,31.05,27,26.5,28.17,8.17,0.01,0,,6.79,,,2,1.5,33
2013,April,BERINAYAN,31.05,27,27,28.35,8.17,0.1,0.01,,5.69,,,2,1.5,28
2013,April,BALAKILONG,32,28,27.5,29.17,8.17,0.05,0.01,,7.63,,,2,1.5,28
2013,April,BUSO-BUSO,31.5,28,27,28.83,8.17,0.01,0,,7.31,,,2,1.5,29
2013,April,BAÑAGA,30.5,30,27,29.17,8.33,0.01,0.01,,6.41,,,2.6,1.5,29.5
2013,April,BILIBINWANG,31,27,26.5,28.17,8.17,0.01,0.01,,6.66,,,2.6,1.5,32
2013,April,SUBIC-ILAYA,32,27,27,28.67,8.17,0.01,0.01,,7.91,,,2,1.5,29
2013,April,SAN NICOLAS,32,27,27,28.67,8.25,0.01,0.01,,8.09,,,2,3.5,29.5
2013,April,MATAAS NA KAHOY,31,27,27,28.33,8.25,0.04,0.01,,6.73,,,3,0,30
2013,April,TANAUAN,30.5,27,27,28.17,8.17,0.01,0.01,,6.03,,,4,1.5,29.5
2013,May,AYA,29.5,29.5,29.5,29.5,8.25,0,0.03,,7.7,,,3,1.5,29
2013,May,TUMAWAY,29.5,29.5,29.5,29.5,8.25,0,0.07,,7.4,,,3,1.5,27
2013,May,SAMPALOC,31,31,31,31,8.5,0,0.026,,7.8,,,3,1.5,29
2013,May,BERINAYAN,33,33,33,33,9,0,0.03,,7,,,3,1.5,28.5
2013,May,BALAKILONG,31.5,31.5,31.5,31.5,8.75,0,0.03,,7.5,,,3,1.5,27.5
2013,May,BUSO-BUSO,31,31,31,31,8.25,0,0.007,,7.2,,,3,1.5,28.5
2013,May,BAÑAGA,31,31,31,31,8.25,0,0.01,,6.7,,,3,1.5,28
2013,May,BILIBINWANG,31,31,31,31,8.5,0,0.01,,6.8,,,3,2.5,27
2013,May,SUBIC-ILAYA,31.5,31.5,31.5,31.5,8.75,0,0.013,,7.1,,,3,2.5,30
2013,May,SAN NICOLAS,32,32,32,32,8.75,0,0,,7.8,,,3,2.5,31
2013,May,MATAAS NA KAHOY,31,31,31,31,8.5,0,0.016,,7.5,,,3,2.5,32
2013,May,TANAUAN,30,30,30,30,8.25,0,0,,7.7,,,3,1.5,31
2013,June,AYA,31,31,31,31,8.7,0.06,0.02,,5.44,0,,3,2.5,29.5
2013,June,TUMAWAY,31,31,31,31,8.7,0.07,0.03,,5.73,0,,3,2.5,29.5
2013,June,SAMPALOC,31,31,31,31,8.6,0.08,0.02,,3.31,0,,3,2.5,29.5
2013,June,BERINAYAN,31,31,31,31,8.6,0.08,0.03,,4.4,0.01,,3,3.5,29
2013,June,BALAKILONG,31,31,31,31,8.6,0.08,0.03,,4.35,0.01,,2.2,3.5,29
2013,June,BUSO-BUSO,31,31,31,31,8.6,0.07,0.02,,5.2,0.05,,3,2.5,29
2013,June,BAÑAGA,31.25,31.25,31.25,31.25,8.6,0.08,0.03,,4.31,0.03,,3,2.5,30
2013,June,BILIBINWANG,31,31,31,31,8.6,0.08,0.05,,5.76,0.08,,3,3.5,29.5
2013,June,SUBIC-ILAYA,31,31,31,31,8.6,0.08,0.04,,5.38,0.08,,3,3.5,30
2013,June,SAN NICOLAS,31,31,31,31,8.6,0.04,0.08,,6.09,0,,3,3.5,30
2013,June,TANAUAN,31.5,31.5,31.5,31.5,8.6,0.04,0.04,,5.64,0,,3,3.5,31
2013,July,AYA,29.8,29.8,29.8,29.8,8.4,,,,4.8,,,2,0,29.5
2013,July,TUMAWAY,29.8,29.8,29.8,29.8,8.5,,,,5.9,,,2,1.5,28.8
2013,July,SAMPALOC,30,30,30,30,8.5,,,,4.2,,,2,1.5,29.2
2013,July,BERINAYAN,30.6,30.6,30.6,30.6,8.4,,,,3.6,,,2,1.5,30.8
2013,July,BALAKILONG,30.8,30.8,30.8,30.8,8.5,,,,5.6,,,2,1.5,29.5
2013,July,BUSO-BUSO,30.7,30.7,30.7,30.7,8.6,,,,6.8,,,2,1.5,30.5
2013,July,BAÑAGA,30.8,30.8,30.8,30.8,8.5,,,,3.9,,,2,1.5,31.9
2013,July,BILIBINWANG,30.8,30.8,30.8,30.8,8.5,,,,6.5,,,2,1.5,30
2013,July,SUBIC-ILAYA,31,31,31,31,8.5,,,,6.7,,,2,1.5,32.2
2013,July,SAN NICOLAS,31.3,31.3,31.3,31.3,8.5,,,,6.8,,,2,1.5,33.7
2013,July,MATAAS NA KAHOY,30.8,30.8,30.8,30.8,8.5,,,,6.6,,,2,2.5,32.5
2013,July,TANAUAN,31.3,31.3,31.3,31.3,8.5,,,,6.2,,,2,2.5,32.1
2013,August,AYA,29.8,29.8,29.8,29.8,8.8,0.03,0.19,,7.1,,2.4,2,3.5,28
2013,August,TUMAWAY,30,30,30,30,8.6,0.08,0.13,,6.2,,13,2,3.5,29
2013,August,SAMPALOC,30,30,30,30,8.3,0.1,0.07,,6.1,,13,2,3.5,30
2013,August,BERINAYAN,30,30,30,30,8.4,0.11,0.07,,4,,3,2,3.5,30
2013,August,BALAKILONG,29.1,29.1,29.1,29.1,8.4,0.06,0.14,,7.6,,9.4,2,3.5,31
2013,August,BUSO-BUSO,29.1,29.1,29.1,29.1,8.4,0.57,0.24,,5.6,,12,2,3.5,30
2013,August,BAÑAGA,30,30,30,30,8.5,0.1,0.16,,6.4,,11.6,2,3.5,30.5
2013,August,BILIBINWANG,30,30,30,29,8.4,0.11,0.14,,7.9,,5.6,2,3.5,30
2013,August,SUBIC-ILAYA,29,29,29,29,8.6,0.18,0.12,,6,,12.4,2,3.5,30
2013,August,SAN NICOLAS,29,29,29,30,8.6,0.09,0.1,,6.8,,11.6,2,3.5,30
2013,August,MATAAS NA KAHOY,30,30,30,30,8.6,0.48,0.12,,6.4,,11.4,2,3.5,31
2013,August,TANAUAN,30,30,30,30,8.6,0.02,0.11,,6.5,,12.6,2,3.5,30.5
2013,September,AYA,30,30,30,30,8.4,0.15,0.01,,5.2,,,2,3.5,
2013,September,TUMAWAY,30.2,30.2,30.2,30.2,8.4,0.13,0.01,,4.5,,,2,3.5,
2013,September,SAMPALOC,30,30,30,30,8.2,0.28,0.01,,2,,,2,3.5,
2013,September,BERINAYAN,30.6,30.6,30.6,30.6,8.2,0.26,0.01,,3.7,,,2,1.5,
2013,September,BALAKILONG,30.7,30.7,30.7,30.7,8.2,0.17,0.02,,2.9,,,2,1.5,
2013,September,BUSO-BUSO,31.2,31.2,31.2,31.2,8.3,0.22,0.02,,4.1,,,2,1.5,
2013,September,BAÑAGA,30.9,30.9,30.9,30.9,8.3,0.11,0.01,,5.7,,,2,1.5,
2013,September,BILIBINWANG,31.5,31.5,31.5,31.5,8.4,0.2,0.01,,7.8,,,2,1.5,
2013,September,SUBIC-ILAYA,32.2,32.2,32.2,32.2,8.6,0.14,0.01,,5.3,,,2,2.5,
2013,September,SAN NICOLAS,31.6,31.6,31.6,31.6,8.2,0.12,0.01,,6.7,,,2,1.5,
2013,September,MATAAS NA KAHOY,30.8,30.8,30.8,30.8,8.4,0.13,0,,6.1,,,2,3.5,
2013,September,TANAUAN,30.9,30.9,30.9,30.9,8.6,0.09,0,,6.4,,,2,1.5,
2013,October,AYA,28.8,28.8,28.8,28.8,8.6,,,,7,,,2,2.5,
2013,October,TUMAWAY,28.8,28.8,28.8,28.8,8.5,,,,7.9,,,2,2.5,
2013,October,SAMPALOC,29.3,29.3,29.3,29.3,8.3,,,,8.5,,,2,2.5,
2013,October,BERINAYAN,30.1,30.1,30.1,30.1,8.3,,,,8.4,,,2,2.5,
2013,October,BALAKILONG,30.2,30.2,30.2,30.2,8.4,,,,8.6,,,2,0,
2013,October,BUSO-BUSO,29.9,29.9,29.9,29.9,8.4,,,,8.8,,,2,1.5,
2013,October,BAÑAGA,30.1,30.1,30.1,30.1,8.2,,,,8.7,,,2,0,
2013,October,BILIBINWANG,30.4,30.4,30.4,30.4,8.3,,,,8.8,,,2,3.5,
2013,October,SUBIC-ILAYA,30.2,30.2,30.2,30.2,8.4,,,,9.6,,,2,1.5,
2013,October,SAN NICOLAS,30,30,30,30,8.3,,,,8.9,,,2,0,
2013,October,MATAAS NA KAHOY,29.9,29.9,29.9,29.9,8.3,,,,8.4,,,2,3.5,
2013,October,TANAUAN,29.4,29.4,29.4,29.4,8.3,,,,8.9,,,2,1.5,
2013,November,AYA,26,26,26,26,8.1,,,,4.1,,,4,1.5,
2013,November,TUMAWAY,26,26,26,26,8.1,,,,4.2,,,2,1.5,
2013,November,SAMPALOC,26,26,26,26,8.3,,,,3.1,,,3,1.5,
2013,November,BERINAYAN,26,26,26,26,8.2,,,,4.2,,,3,1.5,
2013,November,BUSO-BUSO,26,26,26,26,8.3,,,,5.3,,,2,1.5,
2013,November,BAÑAGA,26,26,26,26,8.2,,,,4.4,,,2,1.5,
2013,November,BILIBINWANG,26,26,26,26,8.3,,,,5,,,3,1.5,
2013,November,SUBIC-ILAYA,26,26,26,26,8.3,,,,5.8,,,3,1.5,
2013,November,MATAAS NA KAHOY,25,25,25,25,8.3,,,,8.2,,,4,1.5,
2013,November,TANAUAN,26,26,26,26,8.3,,,,5,,,3,1.5,
2013,December,AYA,27.2,27.2,27.2,27.2,8.4,,,,5.4,,,2,1.5,29
2013,December,TUMAWAY,27.1,27.1,27.1,27.1,8.2,,,,6.5,,,2,1.5,28.5
2013,December,SAMPALOC,27.6,27.6,27.6,27.6,8.2,,,,6.8,,,2,2.5,27
2013,December,BERINAYAN,27.8,27.8,27.8,27.8,8.2,,,,6.6,,,2,1.5,27
2013,December,BALAKILONG,27.8,27.8,27.8,27.8,8.2,,,,7.8,,,2,1.5,27
2013,December,BUSO-BUSO,27.7,27.7,27.7,27.7,8.1,,,,7.1,,,2,1.5,28
2013,December,BAÑAGA,27.6,27.6,27.6,27.6,8.1,,,,6.3,,,2,1.5,29
2013,December,BILIBINWANG,27.7,27.7,27.7,27.7,8,,,,7.6,,,2,1.5,29
2013,December,SUBIC-ILAYA,27.8,27.8,27.8,27.8,8.1,,,,7.5,,,2,1.5,29.5
2013,December,SAN NICOLAS,28.2,28.2,28.2,28.2,8.2,,,,8.4,,,2,1.5,29
2013,December,MATAAS NA KAHOY,27.6,27.6,27.6,27.6,8.2,,,,7.4,,,2,1.5,29
2013,December,TANAUAN,27.9,27.9,27.9,27.9,8.3,,,,6.9,,,2,1.5,29
2014,January,AYA,25.4,24.9,25.1,27.2,8.4,0.64,,,5.4,,,2,1.5,29
2014,January,TUMAWAY,25.1,25,25.3,27.1,8.2,0.32,,,6.5,,,2,1.5,28.5
2014,January,SAMPALOC,25.5,25.5,25.5,27.6,8.2,0.35,,,6.8,,,2,2.5,27
2014,January,BERINAYAN,25.5,25,25.5,27.8,8.2,0.71,,,6.6,,,2,1.5,27
2014,January,BALAKILONG,25.5,25.5,25.5,27.8,8.2,0.72,,,7.8,,,2,1.5,27
2014,January,BUSO-BUSO,25.5,25.5,25.5,27.7,8.1,0.36,,,7.1,,,2,1.5,28
2014,January,BAÑAGA,25.5,25,25.5,27.6,8.1,0.46,,,6.3,,,2,1.5,29
2014,January,BILIBINWANG,25.5,25.5,25,27.7,8,0.38,,,7.6,,,2,1.5,29
2014,January,SUBIC-ILAYA,,,,27.8,8.1,,,,7.5,,,2,1.5,29.5
2014,January,SAN NICOLAS,,,,28.2,8.2,,,,8.4,,,2,1.5,29
2014,January,MATAAS NA KAHOY,,,,27.6,8.2,,,,7.4,,,2,1.5,29
2014,January,TANAUAN,,,,27.9,8.3,,,,6.9,,,2,1.5,29
2014,February,AYA,28,26,26,26.7,8.2,0.27,0.02,,8.9,,,2.4,1.5,26
2014,February,TUMAWAY,27,26,26,26.3,8.1,0.23,0.01,,12.3,0.01,,2.4,1.5,26.5
2014,February,SAMPALOC,27,26,26,26.3,8.1,0.24,0.01,,10.9,0.01,,2.4,1.5,26.5
2014,February,BERINAYAN,27.5,25.5,25.5,26.3,8.1,0.33,0.01,,9,0,,3,1.5,27
2014,February,BALAKILONG,27,26,26,26.3,8.1,0.25,0.02,,11.6,0,,3,1.5,26.5
2014,February,MATAAS NA KAHOY,26.5,25,25,26.2,8.2,0.24,0.01,,10.1,0,,3,1.5,27
2014,February,TANAUAN,26.5,25.5,25.5,26.2,8.2,0.21,0.01,,9.8,,,3,1.5,26
2014,February,BUSO-BUSO,26,25.5,25.5,25.7,8.3,0.31,0.01,,12.9,0.01,,2,1.5,26
2014,February,BAÑAGA,28,26,25.5,26.5,8.3,0.3,0.02,,12.8,0.01,,2.2,1.5,27
2014,February,BILIBINWANG,27,25.5,25.5,26,8.3,0.27,0.01,,10.7,0.01,,2.2,1.5,26.5
2014,February,SUBIC-ILAYA,27,26,25.5,26.2,8.3,0.22,0.01,,,0.01,,3,1.5,27
2014,February,SAN NICOLAS,27,25.5,25,26.5,8.3,0.26,0.02,,8.1,0.03,,3,1.5,26
2014,March,AYA,27,26,26,26.3,8.2,0.17,0.02,,8.5,0.01,12.8,2,1.5,29
2014,March,TUMAWAY,27,26,26,26.3,8.2,0.13,0.02,,7.8,0,13.1,2,1.5,30
2014,March,SAMPALOC,27,26,26,26.3,8.4,0.19,0.01,,7.4,0.02,14.9,2,1.5,29
2014,March,MATAAS NA KAHOY,27,26,26,26.3,8.5,1.03,0.02,,8.1,0.01,9.5,2,2.5,28
2014,March,TANAUAN,26,25.5,25.5,25.7,8.6,0.29,0.01,,6.2,0.01,11.9,2,2.5,26
2014,March,BERINAYAN,27,26.5,26,26.5,8.3,0.26,0.01,,8,0.01,12.8,2,1.5,29.8
2014,March,BALAKILONG,27,26,26.8,26.3,8.4,0.21,0.01,,8.3,0.01,8.6,2,1.5,29
2014,March,BUSO-BUSO,28,26,26,26.7,8.2,0.33,0.01,,8.9,0.01,10.6,2,1.5,29
2014,March,BAÑAGA,27,26,25.5,26.2,8.1,0.26,0.01,,8.4,0.01,11.2,2,1.5,27.8
2014,March,BILIBINWANG,27,26,26,26.3,8.1,0.32,0.01,,9,0.01,10.4,2,1.5,28
2014,March,SUBIC-ILAYA,27,26,25.5,26.2,8.5,0.18,0.06,,8.4,0.01,10.4,2,1.5,27
2014,March,SAN NICOLAS,26.5,26,26,26.2,8.3,0.34,0,,7.4,0,10.9,2,1.5,27
2014,April,AYA,28,26,25.5,26.5,8.1,0.15,0.01,,6.6,0.01,12.8,2,1.5,29
2014,April,TUMAWAY,28,26,25.5,26.5,8.1,0.17,,,6.8,0.03,13.1,2,1.5,29.25
2014,April,SAMPALOC,29,28,27,28,8,0.25,0.01,,6.5,0.16,14.9,2,1.5,31
2014,April,BERINAYAN,29,28,27,28,8.25,0.15,0,,6.4,0,9.5,2,1.5,32
2014,April,BALAKILONG,29.5,27,26,27.5,8.2,0.19,0.01,,6.4,0.01,11.9,2,1.5,32
2014,April,BUSO-BUSO,30,26,26,27.8,8,0.21,0.02,,6.2,0.03,10.6,2,1.5,33
2014,April,BAÑAGA,30,28,26,28,8,0.22,0.02,,5.8,0,11.2,2,3.5,33
2014,April,BILIBINWANG,30,28,27,28.3,8,0.15,0.01,,6.3,0,10.4,2,3.5,33
2014,April,SUBIC-ILAYA,31,27,26,28.3,8,0.25,0.02,,6.5,0.01,10.4,2,1.5,33.5
2014,April,SAN NICOLAS,32,27,26,28.3,8,0.15,0,,6.9,0,10.9,2,1.5,33
2014,April,MATAAS NA KAHOY,30,25.5,26,28,8,0.15,0.01,,6.5,0,11.2,2,1.5,33
2014,April,TANAUAN,30,26,25,27,8,0.13,0.01,,6.5,0.02,10.4,2,1.5,33
2014,May,AYA,31,27,26,28,8.2,0.2,0,,6.8,0.04,12.1,3,2.5,32.5
2014,May,TUMAWAY,32,27,27,28.7,7.9,0.17,0.01,,6.9,0.01,13.2,2,3.5,32.5
2014,May,SAMPALOC,33,27,26.5,28.3,7.9,0.33,0.01,,7.4,0.67,11.3,2,0,33
2014,May,BERINAYAN,32,26.5,26,28.2,8,0.22,0.02,,7,0.29,11.1,2,0,33
2014,May,BALAKILONG,32,29,27,28.3,8.3,0.18,0.01,,7.1,,10.5,2,0,32.5
2014,May,BUSO-BUSO,31,26.5,26,27.9,8.1,0.25,0.01,,7.1,0.23,11.2,2,1.5,31
2014,May,BAÑAGA,31,27,27,28.3,8,0.23,0.08,,6.9,0.01,10.5,2,1.5,30.5
2014,May,BILIBINWANG,30.5,26,26.5,27.7,7.9,0.29,0.01,,7.2,0.43,14.1,2,1.5,30
2014,May,SUBIC-ILAYA,31,25,26,27.3,8.3,0.17,0.01,,6.9,0.17,14.5,2,1.5,31.5
2014,May,SAN NICOLAS,31,25,26,27.3,8.2,0.25,0,,7.1,0.02,15.3,2,1.5,30
2014,May,MATAAS NA KAHOY,30,26,26,27.3,8.2,0.23,0.01,,7.6,0.01,14.9,2,1.5,29
